asxCode,companyName,industry
MAH,MACMAHON HOLDINGS LIMITED,Materials
PRN,PERENTI LIMITED,Materials
BGL,BELLEVUE GOLD LIMITED,Materials
LLC,LENDLEASE GROUP,Real Estate Management & Development
TAH,TABCORP HOLDINGS LIMITED,Consumer Services
RDX,REDOX LIMITED,Capital Goods
4DX,4DMEDICAL LIMITED,Health Care Equipment & Services
RYM,RYMAN HEALTHCARE LIMITED,Health Care Equipment & Services
CIP,CENTURIA INDUSTRIAL REIT,Equity Real Estate Investment Trusts (REITs)
REG,REGIS HEALTHCARE LIMITED,Health Care Equipment & Services
BGA,BEGA CHEESE LIMITED,"Food, Beverage & Tobacco"
MGH,MAAS GROUP HOLDINGS LIMITED,Capital Goods
IMD,IMDEX LIMITED,Materials
DVP,DEVELOP GLOBAL LIMITED,Materials
ORA,ORORA LIMITED,Materials
GNP,GENUSPLUS GROUP LTD,Capital Goods
SIQ,SMARTGROUP CORPORATION LTD,Commercial & Professional Services
ALK,ALKANE RESOURCES LIMITED,Materials
INA,INGENIA COMMUNITIES GROUP,Equity Real Estate Investment Trusts (REITs)
SKG,STORAGE KING GROUP,Equity Real Estate Investment Trusts (REITs)
SNZ,SUMMERSET GROUP HOLDINGS LIMITED,Health Care Equipment & Services
TBN,TAMBORAN RESOURCES CORPORATION,Energy
DRO,DRONESHIELD LIMITED,Capital Goods
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,Equity Real Estate Investment Trusts (REITs)
