asxCode,companyName,industry
PMV,PREMIER INVESTMENTS LIMITED,Consumer Discretionary Distribution & Retail
NWH,NRW HOLDINGS LIMITED,Capital Goods
DRO,DRONESHIELD LIMITED,Capital Goods
GDG,GENERATION DEVELOPMENT GROUP LIMITED,Insurance
DRR,DETERRA ROYALTIES LIMITED,Materials
TAH,TABCORP HOLDINGS LIMITED,Consumer Services
REG,REGIS HEALTHCARE LIMITED,Health Care Equipment & Services
EVT,EVT LIMITED,Media & Entertainment
PPT,PERPETUAL LIMITED,Financial Services
FRW,FREIGHTWAYS GROUP LIMITED,Transportation
MP1,MEGAPORT LIMITED,Software & Services
ZIM,ZIMPLATS HOLDINGS LIMITED,Materials
INA,INGENIA COMMUNITIES GROUP,Equity Real Estate Investment Trusts (REITs)
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,Consumer Services
SMR,STANMORE RESOURCES LIMITED,Materials
GYG,GUZMAN Y GOMEZ LIMITED,Consumer Services
CIP,CENTURIA INDUSTRIAL REIT,Equity Real Estate Investment Trusts (REITs)
ASK,ABACUS STORAGE KING,Equity Real Estate Investment Trusts (REITs)
SLX,SILEX SYSTEMS LIMITED,Capital Goods
MAF,MA FINANCIAL GROUP LIMITED,Financial Services
GLF,GEMLIFE COMMUNITIES GROUP,Real Estate Management & Development
JDO,JUDO CAPITAL HOLDINGS LIMITED,Banks
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,Equity Real Estate Investment Trusts (REITs)
PNR,PANTORO GOLD LIMITED,Materials
PDI,PREDICTIVE DISCOVERY LIMITED,Materials
BGA,BEGA CHEESE LIMITED,"Food, Beverage & Tobacco"
DDR,DICKER DATA LIMITED,Technology Hardware & Equipment
